month,gid,gcode,game_date_local,tip_local_time,tip_away_local_time,tip_et_time,arena,city,state,status_code,status_text,visitor_abbr,visitor_team,visitor_city,home_abbr,home_team,home_city,utc_date,utc_time,seq,broadcasters_tv,broadcasters_radio,broadcasters_ott,broadcasters_natltv
February,0022500748,20260207/HOUOKC,2026-02-07,2026-02-07T14:30:00,2026-02-07T14:30:00,2026-02-07T15:30:00,Paycom Center,Oklahoma City,OK,1,3:30 pm ET,HOU,Rockets,Houston,OKC,Thunder,Oklahoma City,2026-02-07,20:30,2,ABC,"790 AM / S: KLTN TUDN, WWLS/WKY",,ABC
February,0022500749,20260207/DALSAS,2026-02-07,2026-02-07T17:00:00,2026-02-07T17:00:00,2026-02-07T18:00:00,Frost Bank Center,San Antonio,TX,1,6:00 pm ET,DAL,Mavericks,Dallas,SAS,Spurs,San Antonio,2026-02-07,23:00,3,"KFAA, Prime Video","97.1 FM / S: 99.1 FM, WOAI/KXTN",MavsTV,Prime Video
February,0022500750,20260207/UTAORL,2026-02-07,2026-02-07T19:00:00,2026-02-07T17:00:00,2026-02-07T19:00:00,Kia Center,Orlando,FL,1,7:00 pm ET,UTA,Jazz,Utah,ORL,Magic,Orlando,2026-02-08,00:00,4,"FanDuel Sports Network - Florida, KJZZ",KZNS / KSL / S: KTUB,Jazz+,
February,0022500751,20260207/CHAATL,2026-02-07,2026-02-07T19:30:00,2026-02-07T19:30:00,2026-02-07T19:30:00,State Farm Arena,Atlanta,GA,1,7:30 pm ET,CHA,Hornets,Charlotte,ATL,Hawks,Atlanta,2026-02-08,00:30,5,"FanDuel Sports Network - Southeast - Atlanta, FanDuel Sports Network - Southeast - Charlotte","WFNZ 610 AM/102.5 FM, WZGC",,
February,0022500752,20260207/DENCHI,2026-02-07,2026-02-07T19:00:00,2026-02-07T18:00:00,2026-02-07T20:00:00,United Center,Chicago,IL,1,8:00 pm ET,DEN,Nuggets,Denver,CHI,Bulls,Chicago,2026-02-08,01:00,6,"Altitude, Chicago Sports Network",Altitude Sports Radio 92.5 FM,,
February,0022500753,20260207/GSWLAL,2026-02-07,2026-02-07T17:30:00,2026-02-07T17:30:00,2026-02-07T20:30:00,Crypto.com Arena,Los Angeles,CA,1,8:30 pm ET,GSW,Warriors,Golden State,LAL,Lakers,Los Angeles,2026-02-08,01:30,7,ABC,"95.7 The Game, ESPN LA 710/1330 KWKW, ESPN Radio",,ABC
February,0022500754,20260207/PHIPHX,2026-02-07,2026-02-07T19:00:00,2026-02-07T21:00:00,2026-02-07T21:00:00,Mortgage Matchup Center,Phoenix,AZ,1,9:00 pm ET,PHI,76ers,Philadelphia,PHX,Suns,Phoenix,2026-02-08,02:00,8,"Arizona's Family 3TV / Arizona's Family Sports, NBC Sports Philadelphia","97.5 The Fanatic, KMVP 98.7 / S: KSUN",Suns+,
February,0022500755,20260207/MEMPOR,2026-02-07,2026-02-07T19:00:00,2026-02-07T21:00:00,2026-02-07T22:00:00,Moda Center,Portland,OR,1,10:00 pm ET,MEM,Grizzlies,Memphis,POR,Trail Blazers,Portland,2026-02-08,03:00,9,"FanDuel Sports Network - Southeast - Memphis, KUNP",Rip City Radio 620,BlazerVision,
February,0022500756,20260207/CLESAC,2026-02-07,2026-02-07T19:00:00,2026-02-07T22:00:00,2026-02-07T22:00:00,Golden 1 Center,Sacramento,CA,1,10:00 pm ET,CLE,Cavaliers,Cleveland,SAC,Kings,Sacramento,2026-02-08,03:00,10,"FanDuel Sports Network - Ohio, NBCSCA",Sactown Sports 1140 AM,,
February,0022500757,20260208/NYKBOS,2026-02-08,2026-02-08T12:30:00,2026-02-08T12:30:00,2026-02-08T12:30:00,TD Garden,Boston,MA,1,12:30 pm ET,NYK,Knicks,New York,BOS,Celtics,Boston,2026-02-08,17:30,1,ABC,"880 ESPN New York, 98.5 The Sports Hub, ESPN Radio",,ABC
